,equal_weight,cap_weighted,min_variance,mean_variance,risk_parity,momentum
2007-03-01,0.007462005790654557,-0.0007852737810120418,-0.0029622131602884253,0.020255336833046107,0.004410768554437879,0.007299413915252048
2007-04-01,0.060725112931812014,0.05705851254175102,0.04653360261823034,0.061046875239754626,0.05548467118887958,0.06499074096724058
2007-05-01,0.02734380467316748,0.023416035064701815,0.008658167559646318,0.03556771033058803,0.020397761422299526,0.018062834154820382
2007-06-01,-0.023168854700386647,-0.026813916404867355,-0.016004684637462598,-0.020488008944898523,-0.022254798921370545,-0.023302847413020498
2007-07-01,-0.013644342843233815,-0.02431079222977149,-0.011669729230984539,-0.00010961400700655865,-0.011954133203215582,-0.02000481120306205
2007-08-01,0.018641085842679622,0.008533050159518446,0.019000195057021923,0.011090913272155441,0.021241977797115688,0.020785111606552848
2007-09-01,0.035858724264977125,0.031490825567108686,0.05265807985660273,0.04751661787094725,0.04228626526736601,0.04012476371806593
2007-10-01,0.020972821955620842,0.08242438053414422,0.01207233670910952,-0.009091887326995748,0.018744064546557512,-0.010198750191109421
2007-11-01,-0.015224408943271907,-0.026052915688828563,0.02926964935987937,-0.03341357838967868,-0.0004858505982194929,-0.018351936247827598
2007-12-01,0.0016289914003166667,0.01725738733855376,0.0016493245319046841,0.0006593313132048203,0.0010146279487955614,0.019632093217541547
2008-01-01,-0.027630391889638003,-0.0348467252524634,-0.03045543276819954,-0.02780068333784788,-0.02670883413381514,-0.05648652906677042
2008-02-01,-0.01563977875097748,-0.06259410526318387,-0.015028092735069339,-0.008660815708559184,-0.01571897345999242,-0.009051701934713816
2008-03-01,0.025325336036224163,0.026093454793018278,0.029545137004872015,0.02920512097845764,0.027986307694730907,0.03142800856308251
2008-04-01,0.029410224809542217,0.03659480104168012,0.036411166417751877,0.07312997854564218,0.03280582944562396,0.0165675389854182
2008-05-01,-0.005680386465136391,-0.014107355561993334,-0.0035784064826032036,-0.025599746843834023,-0.005541943704667061,0.00012431676812466115
2008-06-01,-0.0773949107303282,-0.051983097664000825,-0.056217125168317776,-0.09713934949495039,-0.07081258610810193,-0.057982979791010435
2008-07-01,0.02555304415649995,0.0011595678321834433,0.03801384054224569,-0.007579970294592742,0.03140794447396075,0.006293974186891701
2008-08-01,0.019924742612263048,0.027102124653889424,0.028038985512879245,0.030851329954093565,0.021775665759683777,0.01289299509360018
2008-09-01,-0.012311352794626518,-0.003949039637733564,-0.019583323748971655,-0.0558465872328728,-0.013298746689783914,-0.008228232982954949
2008-10-01,-0.12900677579729358,-0.10849723598452236,-0.09510185786351631,-0.15107457190837653,-0.11769298190393761,-0.12989444035785766
2008-11-01,-0.031742526407888084,-0.03462052347676645,-0.010709586356399752,-0.022479201527411535,-0.025689783125506346,-0.0528004172131834
2008-12-01,-0.0008179680113134923,-0.003323804712230471,-0.008606923846070246,-0.005381869586753342,-0.003815873743559724,0.001976172070240767
2009-01-01,-0.1042178080973216,-0.11298272409882656,-0.10337586565980487,-0.09541424141057979,-0.10420940379202501,-0.05443406439880387
2009-02-01,-0.0972537936480593,-0.06119807088307388,-0.08248363774833471,-0.08602853573680788,-0.08744593406476027,-0.07231765362024677
2009-03-01,0.0797076332874792,0.07643838512679331,0.05565424909441244,0.023127552060446584,0.07093943119408572,0.03927589086218248
2009-04-01,0.08553635039283414,0.03515693093723951,0.009559925889883445,0.012315790061388244,0.05890248097574795,0.007589113358380115
2009-05-01,0.06143836334544968,0.0508297083942037,0.041021857336141165,0.03811053468074605,0.05656628799152465,0.07122365064407127
2009-06-01,-0.0033476060114497747,0.024998346686195203,0.0008680956654027862,-0.005355384254871903,-0.001161453132553852,0.0008333202503864512
2009-07-01,0.09651321290010118,0.03785259100135315,0.062460776559897915,0.07576694262342977,0.07766485852315923,0.07740482739578453
2009-08-01,0.02546756440827504,0.03063701299762862,0.006444928321331947,0.008730795329388016,0.01925534242075324,0.03284552348608388
2009-09-01,0.03433637636830398,0.0166725326452849,0.002674887117455284,0.03320189452890216,0.023118788062265992,0.03416907088555669
2009-10-01,0.014340334451995842,0.029604767053166104,0.008180488338170278,0.01118038748887955,0.012841924777776315,0.009750816572348948
2009-11-01,0.06798131950652461,0.06959447735059275,0.07364560494723996,0.056865070331151304,0.07133332489803657,0.058667069591759546
2009-12-01,0.005355365184585058,-0.0013964361492612954,-0.015471935899899434,-0.02072119915724491,-3.390041844367205e-05,0.0316560632632953
2010-01-01,-0.039297480570590224,-0.03920325927821524,-0.021768248300209715,-0.048797332659099524,-0.03319522034962266,-0.06915380427888909
2010-02-01,0.02348021340401834,0.014139709188442243,0.014076882514530424,0.017973400779673226,0.017072484523299722,0.04902656472028541
2010-03-01,0.04054657567722193,0.027032320049894847,0.02522673509109282,0.028458068676329745,0.03441489453870362,0.05970803499988252
2010-04-01,0.008920115054212542,0.0026529075355449937,-0.008652126889986542,-0.014131158772996985,0.0015817937326988334,0.029269909853676685
2010-05-01,-0.07667915090901473,-0.09340123450334598,-0.07013119537623261,-0.05063253494582317,-0.07283627766918374,-0.09008076324473814
2010-06-01,-0.03841884984899763,-0.06100581901674193,-0.030919155414128083,-0.03553340650958153,-0.03770821286521609,-0.053451628404750214
2010-07-01,0.0714941392860102,0.07531774338140051,0.039476497306317755,0.0659399320244864,0.0620100004734271,0.08475157246591326
2010-08-01,-0.029970243364411356,-0.03335182425011805,-0.013167016886370021,-0.02070827601070484,-0.022571724612959247,-0.0558104532545071
2010-09-01,0.07058350377045473,0.05770708113572545,0.05909955123047784,0.06605517703693653,0.06517435445011675,0.07170783648643722
2010-10-01,0.03869585307865344,0.04843024667901164,0.04626847519935628,0.046747985993039205,0.040107731501779965,0.04214313984187671
2010-11-01,-0.0004044117260412752,-0.013607260829802464,-0.0015898326189077603,0.010181684606149228,-0.002157659490998853,0.01909054923376822
2010-12-01,0.05644396509250993,0.059837733787061136,0.03271646267447414,0.038549210482259566,0.04677050200117499,0.050725268721130805
2011-01-01,0.02899163197333078,0.025299733949171777,0.04641719902480752,0.04537773526141485,0.030581818425761263,0.0200805385609352
2011-02-01,0.030069298231783698,0.0006370918411367442,0.004844949285370953,0.03040888369860695,0.0217400155624973,0.044831200714652866
2011-03-01,0.0054175389653572424,-0.00677346484965448,-0.010705647184840104,0.010440202030140362,0.00240738774961695,0.014945713896746732
2011-04-01,0.03881096486120608,0.03805233213993813,0.06148456915222946,0.03242334495246227,0.044128144232335624,0.031398181174689115
2011-05-01,-0.014479865151374508,-0.011492389075020787,0.0016138218312946675,-0.023830091109227215,-0.007480353535641761,-0.024390675468251716
2011-06-01,-0.01663237504897245,-0.01059297384400676,-0.02463871206827096,-0.008085711235088696,-0.01822757480703839,-0.015109521286637697
2011-07-01,-0.015454048184418147,0.0005571777947468363,-0.007175376645148369,0.005596974679843371,-0.013442670829607156,-0.0155358826406681
2011-08-01,-0.02833278832597365,-0.017195080953111785,-0.010120070306600037,-0.022616609049950248,-0.019696831675164936,-0.04680279303378475
2011-09-01,-0.07241677678343232,-0.05231826096616266,-0.015678880073475263,-0.034046542868442234,-0.054453448963263984,-0.06793504458389708
2011-10-01,0.09451687940058859,0.07515931909950253,0.05797700315668707,0.0744070219291119,0.07804209378931332,0.0879880541597824
2011-11-01,0.009988659064924351,0.006636653654648736,0.0259587662725599,0.020589251898058953,0.015549320431936776,0.02080560487144643
2011-12-01,0.0253621847924476,0.029734360385876384,0.024470443270250913,0.00783441492768711,0.02754228363440696,0.01588923154901656
2012-01-01,0.04576892767078011,0.04615526147115572,-7.773016369318443e-05,0.0349238160455917,0.026881006747859235,0.037666295018565416
2012-02-01,0.03374086796964465,0.03158317032014934,0.0209061865489738,0.016644128334896018,0.027326600244654026,0.0090245288483951
2012-03-01,0.036203799456545865,0.034557860464038935,0.02555176117186962,0.03339588693257759,0.03529503240107707,0.03128275183529772
2012-04-01,-0.014720717332091892,-0.013692790677426849,-0.020125456363956656,-0.008063061931651265,-0.013517526948735975,-0.007042894158554132
