,regime_cvar_rho1.0
2022-01-01,-0.04191843832082327
2022-02-01,-0.0515670949404055
2022-03-01,0.0730703543387937
2022-04-01,-0.025030086347742602
2022-05-01,-0.022177650178639437
2022-06-01,-0.06516955232084758
2022-07-01,0.036339817579691826
2022-08-01,-0.04737486426035001
2022-09-01,-0.07774587605337066
2022-10-01,0.09826689496830684
2022-11-01,0.09029553012005685
2022-12-01,-0.0222530332175639
2023-01-01,-0.030639406866091495
2023-02-01,-0.031746378268012534
2023-03-01,0.055639079152554914
2023-04-01,0.021706139824847585
2023-05-01,-0.024304356573561958
2023-06-01,0.03886434821548063
2023-07-01,0.02333513076272491
2023-08-01,-0.003311571207946901
2023-09-01,-0.041739522770537954
2023-10-01,0.0047005021515081425
2023-11-01,0.02221067805002104
2023-12-01,-0.007716942346273646
2024-01-01,0.03590365324735339
2024-02-01,0.02450493073945292
2024-03-01,0.021934502274864813
2024-04-01,-0.04375178950548465
2024-05-01,0.04636078779712727
2024-06-01,0.009954675341679046
2024-07-01,0.03360579430532546
2024-08-01,0.07360155214101266
2024-09-01,0.009862710829750345
2024-10-01,-0.012524642808029764
2024-11-01,0.06353528547740918
2024-12-01,-0.04465900223506062
2025-01-01,0.05353191327772751
2025-02-01,0.0341319719830344
2025-03-01,-0.043351428676824066
2025-04-01,0.0010949140098509436
2025-05-01,0.02315975744779423
2025-06-01,0.009881001375162885
2025-07-01,-0.004032640018796937
2025-08-01,0.029394751370397907
2025-09-01,0.03854594616238886
2025-10-01,0.0032394210382312503
2025-11-01,0.05455741836547186
2025-12-01,-0.005943026291025438
2026-01-01,0.06376147810778852
2026-02-01,0.050299774450999854
2026-03-01,-0.024859024962718447
2026-04-01,0.0034222276655800337
2026-05-01,-0.01910024299835193
2026-06-01,0.03143421233739576
2026-07-01,0.017726493980600902
