,CAT,DIS,IBM,JNJ,JPM,KO,MMM,MSFT,PFE,PG,WMT,XOM
2015-11-01,0.01577968504938727,1.6386704438341432e-09,0.10852386569887301,0.09450579533271172,1.4685798915662498e-09,0.1241965259510969,4.8817840919873414e-09,0.1164357091861518,0.2054941963518807,0.08506433912390682,0.24999983576290644,3.9554050867395335e-08
2015-12-01,0.02374421240264868,1.1114709345750624e-09,0.10852406755683654,0.13873822595114552,1.0400425401239003e-09,0.16450025046910213,3.4298870840122845e-09,0.1239346465219381,0.16126176566047962,0.031687890713677926,0.24760890252019246,3.262257842361227e-08
2016-01-01,0.03771252512384318,4.469580238433465e-10,0.10852408570652752,0.1793203532416001,4.1496497408913923e-10,0.2099497021023417,1.2859737384606046e-09,0.11898426715716755,0.12067964380693781,8.615311008364233e-09,0.2248294025295641,9.568810225942234e-09
2016-02-01,0.05736370700072357,1.0298083841685105e-10,0.14700163454539764,0.17749975128495354,8.555163083156854e-11,0.24999999898749972,6.494864214013125e-10,0.09608426082723169,0.12250024808075884,1.013962079105202e-09,0.1495503939298091,3.491644841801776e-09
2016-03-01,0.060903246574183174,1.0065792846408719e-10,0.20243873072898294,0.13647658177448868,8.033741714552734e-11,0.24999999933362452,7.748797519689333e-10,0.08829889496880879,0.16352341727439315,1.132367747955664e-09,0.09835912298472069,4.27255499011469e-09
2016-04-01,0.06159124834097626,4.985726699434677e-11,0.21321438499199796,0.12850265248684445,4.043771431094181e-11,0.2499999996655697,3.900304986077308e-10,0.08678560560168032,0.1714973471297047,5.138725659619177e-10,0.08840875855212672,2.236901447403794e-09
2016-05-01,0.061591263684689,2.3685241042347004e-10,0.21321440002698042,0.12850264318201646,1.9541532477434745e-10,0.24999999937756043,2.390591049059049e-09,0.0867855870546488,0.1714973532039408,2.2343856811047414e-09,0.08840870249610604,4.591681272066384e-08
2016-06-01,0.06159126200663137,2.38884550480901e-10,0.21321438893022443,0.12850265179619488,1.9725585943974578e-10,0.2499999992159982,2.3461518575517876e-09,0.08678558948316857,0.17149734556563032,2.2147509820788747e-09,0.08840871430274932,4.370235947141597e-08
2016-07-01,0.061591262657054835,2.244563617303422e-10,0.2132143974680084,0.12850264512663984,1.8530165156725472e-10,0.24999999932104253,2.224188419896098e-09,0.08678558824220216,0.171497351979084,2.0919564774385293e-09,0.08840870670639983,4.377366443292264e-08
2016-08-01,0.061591263676437746,2.354131300454817e-10,0.21321439952699153,0.12850264372121023,1.9434408622206552e-10,0.2499999993186927,2.3632129281919364e-09,0.08678558698585738,0.1714973530852746,2.203283497753085e-09,0.0884087023474362,4.6341844784414874e-08
2016-09-01,0.0615912641002424,2.350004081776609e-10,0.21321440133200806,0.1285026422486298,1.9548380251163976e-10,0.24999999936081288,2.3564215671055103e-09,0.0867855863993481,0.17149735435600372,2.1921594864315743e-09,0.08840869986952858,4.7354360184628854e-08
2016-10-01,0.0615912639468225,2.2576369344192616e-10,0.2132144005365787,0.12850264256967905,1.8749756577654003e-10,0.2499999993669452,2.238040634009152e-09,0.08678558656923627,0.17149735413103248,2.118417238398892e-09,0.0884087009561382,4.7153848500121575e-08
2016-11-01,0.11360217318996561,2.0671679739191746e-09,0.11321474012486686,0.1285026314071669,1.1366900500625528e-09,0.24999999488722666,0.03692511090708412,0.08678533652688493,0.17149736436462518,4.353365066867704e-09,0.09947260801942624,3.301553044153048e-08
2016-12-01,0.15123638050951183,1.3111334594070285e-09,0.056170290630137565,0.12850262699557202,6.558365771030426e-10,0.24999999634223624,0.0966529354361208,0.043829832270042855,0.17149737069719267,3.067408096217218e-09,0.10211053897306703,2.3111740869710936e-08
2017-01-01,0.15138277113097856,4.074173449418706e-09,0.056170267810066746,0.05000048525946558,3.4667295822740253e-09,0.23549776037652673,0.10440163268177856,0.03683456299866142,0.24999949881396233,8.84355255635593e-09,0.11571298821177409,1.6332330306705806e-08
2017-02-01,0.1435908125952804,9.521953794395165e-11,0.015876225241413085,0.05000000102879337,1.2236682618131153e-10,0.21058668962362387,0.1564091541886366,0.05821286107788786,0.24999999830030317,2.036041038920096e-10,0.1153242571520019,3.708693564491202e-10
2017-03-01,0.14359082777560642,2.18815166675012e-09,0.01587623222205711,0.05000002997849003,1.4259322445854878e-09,0.21058667796827904,0.15640915710810843,0.05821283973027148,0.24999995231567337,4.5684735556151315e-09,0.11532427056345561,4.155495617903522e-09
2017-04-01,0.14359082474086254,1.963351144435325e-09,0.01587622392440809,0.05000002592664098,1.2050702147345833e-09,0.21058667667839617,0.15640916736287055,0.058212846450736336,0.2499999578302286,4.0712229948232875e-09,0.11532426634650027,3.4997119331682765e-09
2017-05-01,0.1435908260670652,2.115863882213305e-09,0.015876227208611097,0.050000027846982376,1.290200577761415e-09,0.21058667822247726,0.15640916356109094,0.05821284383191163,0.24999995475681458,4.392103310039118e-09,0.1153242670354438,3.671430074160056e-09
2017-06-01,0.1435908267241205,2.070429300500781e-09,0.01587622973277787,0.05000002744817681,1.3591817804701363e-09,0.21058667701679312,0.15640916009706618,0.05821284189367051,0.2499999558056292,4.3200993946614965e-09,0.11532426957541374,3.956636258458935e-09
2017-07-01,0.1627915600423821,2.5026379086861046e-09,0.06171799292902757,0.04999999790398178,2.597788455523389e-09,0.2455437279403387,0.1372084378879045,0.030498089093874494,0.24999999549481466,6.023890012211102e-09,0.06224017335706557,1.4226294194250531e-08
2017-08-01,0.16523925257642036,2.857058729756316e-10,0.06756185113829823,0.050000001022053514,4.862388409171471e-10,0.24999999573539514,0.13476074577375857,0.0269650353418211,0.2499999981595782,6.370193250537353e-10,0.055473117083329235,1.7603817742998882e-09
