,turnover
2019-02-01,0.19999993789501885
2019-03-01,0.1999996530204767
2019-04-01,0.09900323172045168
2019-05-01,1.58054872253161e-08
2019-06-01,5.976796207798069e-10
2019-07-01,7.444279167850197e-09
2019-08-01,1.854083113749734e-09
2019-09-01,2.27843824804684e-09
2019-10-01,5.561811080281872e-09
2019-11-01,5.122678404527941e-10
2019-12-01,6.691343789190975e-10
2020-01-01,9.982219943430552e-10
2020-02-01,3.560670605288671e-09
2020-03-01,0.19999998989858409
2020-04-01,0.19999999289651457
2020-05-01,0.19999998337786346
2020-06-01,0.19999985251114816
2020-07-01,0.17678415092753727
2020-08-01,1.2920076063047042e-07
2020-09-01,1.1087405092776669e-08
2020-10-01,0.1999999866150726
2020-11-01,0.19999995463679004
2020-12-01,0.09791874868211359
2021-01-01,1.4646497064297297e-07
2021-02-01,2.7929492739110086e-09
2021-03-01,7.598738359962308e-09
2021-04-01,6.057110474140703e-08
2021-05-01,1.2343518621726662e-09
2021-06-01,4.26829417101435e-08
2021-07-01,9.790168451506043e-09
2021-08-01,2.475533501717798e-08
2021-09-01,2.1407481403675798e-08
2021-10-01,6.982896043085495e-08
2021-11-01,0.19999997147479448
2021-12-01,0.13008532408340853
2022-01-01,7.833480916378563e-08
2022-02-01,3.2073295105010874e-09
2022-03-01,1.052286039756334e-08
2022-04-01,1.940907116451072e-08
2022-05-01,1.027571511594953e-08
2022-06-01,1.1994439794052154e-08
2022-07-01,2.7926131377516047e-10
2022-08-01,0.19999989245279665
2022-09-01,0.005389209832031402
2022-10-01,3.917402544130117e-08
2022-11-01,0.19999996844612758
2022-12-01,0.1999999630150098
2023-01-01,0.15070758640594828
2023-02-01,9.261217035331096e-08
2023-03-01,5.587246297472471e-10
2023-04-01,0.19999975819729102
2023-05-01,0.19999834301645078
2023-06-01,0.17815772435728944
2023-07-01,3.362903008448454e-07
2023-08-01,1.5508511417428325e-09
2023-09-01,1.3960790328586514e-09
2023-10-01,1.8990369177574083e-09
2023-11-01,3.512840814069989e-09
2023-12-01,2.729129699472145e-09
2024-01-01,4.291630254441987e-09
2024-02-01,0.19999995271421142
2024-03-01,0.1999999494075716
2024-04-01,0.1999999616643307
2024-05-01,0.06567130595890727
2024-06-01,0.14639992890120376
2024-07-01,0.017751775811450654
2024-08-01,8.26287539482965e-06
2024-09-01,2.810512343603011e-08
2024-10-01,3.2034104422435713e-08
2024-11-01,8.611336220781819e-09
2024-12-01,3.771532555190443e-08
2025-01-01,9.671696079125883e-09
2025-02-01,0.18006908408445002
2025-03-01,5.000538392185024e-07
2025-04-01,0.1999995620948956
2025-05-01,0.19999996533054232
2025-06-01,0.09240588238762483
2025-07-01,2.306030016377223e-08
2025-08-01,0.19999979357636596
2025-09-01,0.19999995404981236
2025-10-01,0.0010171663988786652
2025-11-01,4.043330213357382e-08
2025-12-01,1.4968308231559502e-08
2026-01-01,6.676695586030152e-09
2026-02-01,1.0457971162515352e-08
2026-03-01,8.605050708384597e-09
2026-04-01,1.4790148414838832e-08
2026-05-01,1.8137053793103186e-08
2026-06-01,7.585937019647582e-09
2026-07-01,3.384575029173379e-08
